Gene ID	Associated Gene Name	EntrezGene ID	Version (gene)
ENSG00000181358	CTAGE10P	220429	3
ENSG00000251719	RNU6-408P		1
ENSG00000265730	AC090349.1		1
ENSG00000200064	RNY4P9		1
ENSG00000212085	AC105245.1		2
ENSG00000264526	AL136123.1		1
ENSG00000264864	MIR3613	100500908	1
ENSG00000266479	CTD-2515C13.1		1
ENSG00000259458	RP11-625H11.1		1
ENSG00000265980	CTD-2515C13.2		1
ENSG00000221731	AC091321.1		1
ENSG00000264587	RP11-784B15.1		1
ENSG00000266196	RP11-675P14.1		1
ENSG00000265670	RP11-25I11.1		1
ENSG00000251702	RNU6-857P		1
ENSG00000261521	RP11-408H20.1		1
ENSG00000231607	DLEU2	406948	4
ENSG00000238376	snoU13		1
ENSG00000238660	AP001340.1		1
ENSG00000265888	RP11-408H20.2	101927698	1
ENSG00000213885	RPL13AP7		3
ENSG00000263698	RP11-408H20.3		1
ENSG00000185433	LINC00158	54072	4
ENSG00000266729	RP11-534N16.1	101927718	1
ENSG00000238314	snoU13		1
ENSG00000229962	AP000221.1		1
